cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
O5907,0,0,0,0,0,0
O6185,0,0,0,0,0,0
O6320,1,0,392,0,1,392
O6357,0,0,0,0,0,0
O6535,0,0,0,0,0,0
O6570,0,0,0,0,0,0
O6578,0,0,0,0,0,0
O6729,0,0,0,0,0,0
O6777,0,0,0,0,0,0
O6837,0,0,0,0,0,0
O6844,0,0,0,0,0,0
O6867,0,0,0,0,0,0
O6969,1,0,125,0,1,125
N8911,0,0,0,0,0,0
N8969,0,0,0,0,0,0
N9592,0,1,0,410,1,410
N9716,0,0,0,0,0,0
N9765,0,0,0,0,0,0
N9818,0,0,0,0,0,0
N9883,1,0,206,0,1,206
N9901,0,0,0,0,0,0
O0453,0,0,0,0,0,0
O0580,0,0,0,0,0,0
O0751,0,1,0,711,1,711
O0826,0,0,0,0,0,0
O0879,0,0,0,0,0,0
O1257,0,0,0,0,0,0
O1261,0,0,0,0,0,0
O1291,0,0,0,0,0,0
O1366,0,0,0,0,0,0
O1415,0,0,0,0,0,0
O1427,0,0,0,0,0,0
O1666,0,0,0,0,0,0
O2030,0,0,0,0,0,0
O2341,0,0,0,0,0,0
O2588,0,0,0,0,0,0
O2843,0,0,0,0,0,0
O2877,0,0,0,0,0,0
O3072,0,0,0,0,0,0
O3476,0,1,0,103,1,103
O3542,0,0,0,0,0,0
O3792,0,0,0,0,0,0
O4390,0,0,0,0,0,0
O4397,0,0,0,0,0,0
O4940,0,0,0,0,0,0
O5685,0,0,0,0,0,0
O5803,0,0,0,0,0,0
O5906,0,0,0,0,0,0
O6175,0,0,0,0,0,0
O6177,0,0,0,0,0,0
O6363,0,0,0,0,0,0
O6391,0,0,0,0,0,0
O6601,0,0,0,0,0,0
O6758,0,0,0,0,0,0
O6766,0,0,0,0,0,0
O6782,0,0,0,0,0,0
O6798,0,0,0,0,0,0
O6830,0,0,0,0,0,0
O6859,0,0,0,0,0,0
O6986,0,1,0,80,1,80
N9057,0,0,0,0,0,0
N9568,0,0,0,0,0,0
N9662,0,0,0,0,0,0
N9897,0,0,0,0,0,0
O0450,0,1,0,212,1,212
O0540,0,0,0,0,0,0
O0544,0,0,0,0,0,0
O0565,0,0,0,0,0,0
O0694,0,1,0,268,1,268
O0919,0,0,0,0,0,0
O1241,0,0,0,0,0,0
O1260,0,0,0,0,0,0
O1456,0,0,0,0,0,0
O1712,0,1,0,372,1,372
O2322,0,0,0,0,0,0
O2342,0,1,0,130,1,130
O2612,0,0,0,0,0,0
O2647,0,0,0,0,0,0
O2685,0,0,0,0,0,0
O2738,0,1,0,66,1,66
O2941,0,0,0,0,0,0
O3151,0,0,0,0,0,0
O3627,0,0,0,0,0,0
O4231,1,0,115,0,1,115
O4305,0,0,0,0,0,0
O4552,0,1,0,353,1,353
O4668,0,0,0,0,0,0
O4673,0,0,0,0,0,0
O4751,0,0,0,0,0,0
O4850,0,0,0,0,0,0
